Genes	Left-End-Position	Right-End-Position	Direction	Product
3'ETS-<i>leuZ</i>	1991748	1991814	-	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>
aaeA	3388194	3389126	-	aromatic carboxylic acid efflux pump membrane fusion protein
aaeB	3386221	3388188	-	aromatic carboxylic acid efflux pump subunit AaeB
aaeR	3389520	3390449	+	LysR-type transcriptional regulator AaeR
aaeX	3389134	3389337	-	DUF1656 domain-containing protein AaeX
aas	2973855	2976014	-	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase
aat	926728	927432	-	leucyl/phenylalanyl-tRNA&mdash;protein transferase
abgA	1403255	1404565	-	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A
abgB	1401810	1403255	-	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B
abgR	1404741	1405649	+	putative LysR-type DNA-binding transcriptional regulator AbgR
abgT	1400247	1401773	-	<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter
abpA	2763537	2765153	-	CP4-57 prophage; anti-bacteriophage protein
abpB	2761351	2763540	-	CP4-57 prophage; putative helicase YfjK
abrB	746723	747769	-	putative regulator
accA	208621	209580	+	acetyl-CoA carboxyltransferase subunit &alpha;
accB	3405436	3405906	+	biotin carboxyl carrier protein
accC	3405917	3407266	+	biotin carboxylase
accD	2433012	2433926	-	acetyl-CoA carboxyltransferase subunit &beta;
aceA	4217109	4218413	+	isocitrate lyase
aceB	4215478	4217079	+	malate synthase A
aceE	123017	125680	+	pyruvate dehydrogenase E1 component
aceF	125695	127587	+	AceF-dihydrolipoate // AceF-S-acetyldihydrolipoate // AceF-lipoate // pyruvate dehydrogenase, E2 subunit
aceK	4218596	4220332	+	isocitrate dehydrogenase kinase/phosphatase
ackA	2413470	2414672	+	acetate kinase
acnA	1335831	1338506	+	aconitate hydratase 1
acnB	131615	134212	+	AcnB
acpH	424337	424918	-	acyl carrier protein phosphodiesterase
acpP	1151615	1151851	+	octanoyl-ACP // lipoyl-ACP // <i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // <i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP // succinyl-ACP // <i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP // 3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-3-hydroxypalmitoyl-ACP // (3<i>R</i>)-3-hydroxybutanoyl-ACP // <i>trans</i> oct-2-enoyl-ACP // <i>trans</i>-but-2-enoyl-ACP // (3<i>R</i>)-3-hydroxyoctanoyl-ACP // <i>trans</i>-hexadec-2-enoyl-ACP // holo-[acyl-carrier protein] // acyl carrier protein
acpS	2700618	2700998	-	holo-[acyl-carrier-protein] synthase
acpT	3612969	3613556	+	holo-[acyl carrier protein] synthase 2
acrA	484426	485619	-	multidrug efflux pump membrane fusion lipoprotein AcrA
acrB	481254	484403	-	multidrug efflux pump RND permease AcrB
acrD	2587595	2590708	+	multidrug efflux pump RND permease AcrD
acrE	3413864	3415021	+	multidrug efflux pump membrane fusion lipoprotein AcrE
acrF	3415033	3418137	+	multidrug efflux pump RND permease AcrF
acrR	485761	486408	+	DNA-binding transcriptional repressor AcrR
acrZ	794773	794922	+	multidrug efflux pump accessory protein AcrZ
acs	4285413	4287371	-	acetyl-CoA synthetase (AMP-forming)
actP	4283253	4284902	-	acetate/glycolate:cation symporter
ada	2309341	2310405	-	DNA-binding transcriptional dual regulator / DNA repair protein Ada
add	1702233	1703234	+	adenosine deaminase
adeD	3843964	3845730	+	adenine deaminase
adeP	3895272	3896609	-	adenine:H<sup>+</sup> symporter
adeQ	3842455	3843789	-	adenine transporter
adhE	1295446	1298121	-	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
adhP	1552828	1553838	-	ethanol dehydrogenase / alcohol dehydrogenase
adiA	4338254	4340521	-	arginine decarboxylase, degradative
adiC	4335694	4337031	-	arginine:agmatine antiporter
adiY	4337168	4337929	-	DNA-binding transcriptional activator AdiY
adk	497175	497819	+	adenylate kinase
aegA	2583546	2585525	-	putative oxidoreductase AegA
aer	3217556	3219076	-	aerotaxis sensor receptor, flavoprotein
aes	499014	499973	-	acetylesterase
afuC	277756	278802	-	CP4-6 prophage; ABC transporter ATP-binding protein AfuC
agaA	3281122	3281625	+	putative truncated N-acetylgalactosamine-6-phosphate deacetylase
agaB	3284170	3284646	+	galactosamine-specific PTS enzyme IIB component
agaC	3284685	3285488	+	galactosamine-specific PTS enzyme IIC component
agaD	3285478	3286269	+	galactosamine-specific PTS enzyme IID component
agaI	3286270	3287025	+	putative deaminase AgaI
agaR	3277856	3278665	-	DNA-binding transcriptional repressor AgaR
agaS	3281976	3283130	+	putative galactosamine-6-phosphate deaminase/isomerase
agaV	3280217	3280690	+	<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component
agaW	3280701	3281102	+	<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component
agp	1065585	1066826	+	glucose-1-phosphatase
agrA	3648063	3648144	+	small RNA AgrA
agrB	3648294	3648375	+	small regulatory RNA AgrB
ahpC	638945	639508	+	alkyl hydroperoxide reductase, AhpC component
ahpF	639753	641318	+	alkyl hydroperoxide reductase, AhpF component
ahr	4495190	4496209	-	NADPH-dependent aldehyde reductase Ahr
aidB	4414275	4415900	+	putative acyl-CoA dehydrogenase AidB
ais	2365018	2365620	-	putative lipopolysaccharide core heptose(II)-phosphate phosphatase
alaA	2407561	2408778	+	glutamate&mdash;pyruvate aminotransferase AlaA
alaB				glutamate&mdash;pyruvate aminotransferase AlaB
alaC	2497057	2498295	-	glutamate&mdash;pyruvate aminotransferase AlaC
alaE	2799164	2799613	+	L-alanine exporter
alaS	2819381	2822011	-	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor
alaT	4037260	4037335	+	L-alanyl-tRNA<SUP>alaT</SUP> // tRNA-Ala(UGC)
alaU	3426958	3427033	-	tRNA-Ala(UGC)
alaV	225500	225575	+	tRNA-Ala(UGC)
alaW	2518156	2518231	-	tRNA-Ala(GGC)
alaX	2518041	2518116	-	tRNA-Ala(GGC)
aldA	1488232	1489671	+	aldehyde dehydrogenase A
aldB	3754973	3756511	-	aldehyde dehydrogenase B
alkA	2146692	2147540	-	DNA-3-methyladenine glycosylase 2
alkB	2308691	2309341	-	DNA oxidative demethylase
allA	532451	532933	+	ureidoglycolate lyase
allB	539147	540508	+	allantoinase
allC	544057	545292	-	allantoate amidohydrolase
allD	545314	546363	-	ureidoglycolate dehydrogenase
allE	543261	544046	-	(S)-ureidoglycine aminohydrolase
allR	533011	533826	+	DNA-binding transcriptional repressor AllR
allS	531295	532221	-	DNA-binding transcriptional activator AllS
alpA	2758644	2758856	+	CP4-57 prophage; DNA-binding transcriptional activator AlpA
alr	4265782	4266861	+	alanine racemase 1
alsA	4309448	4310980	-	D-allose ABC transporter ATP binding subunit
alsB	4311107	4312042	-	D-allose ABC transporter periplasmic binding protein
